year,co2,ch4,n2o,cfc12,cfc11,15_minor,total,co2_eq_ppm_total,aggi_1990_1,aggi_change
1979,1.027,0.406,0.104,0.092,0.039,0.031,1.699,382,0.785,
1980,1.058,0.413,0.104,0.097,0.042,0.034,1.747,385,0.807,2.2
1981,1.077,0.42,0.107,0.102,0.044,0.036,1.786,388,0.825,1.8
1982,1.089,0.426,0.111,0.107,0.046,0.038,1.818,390,0.84,1.5
1983,1.115,0.429,0.113,0.113,0.048,0.041,1.859,394,0.859,1.9
1984,1.14,0.432,0.116,0.118,0.05,0.044,1.899,396,0.877,1.9
1985,1.162,0.437,0.118,0.123,0.053,0.047,1.94,400,0.896,1.9
1986,1.184,0.442,0.122,0.129,0.056,0.049,1.982,403,0.916,1.9
1987,1.211,0.447,0.12,0.136,0.059,0.053,2.025,406,0.935,2
1988,1.25,0.451,0.122,0.143,0.062,0.057,2.085,411,0.963,2.8
1989,1.274,0.455,0.126,0.149,0.064,0.061,2.13,414,0.984,2.1
1990,1.292,0.459,0.129,0.154,0.065,0.065,2.165,417,1,1.6
1991,1.312,0.463,0.131,0.158,0.067,0.069,2.2,419,1.016,1.6
1992,1.323,0.467,0.133,0.162,0.067,0.072,2.225,421,1.028,1.2
1993,1.334,0.467,0.133,0.164,0.068,0.074,2.24,423,1.035,0.7
1994,1.356,0.469,0.135,0.165,0.068,0.076,2.27,425,1.048,1.4
1995,1.383,0.472,0.137,0.168,0.067,0.077,2.303,428,1.064,1.6
1996,1.41,0.473,0.139,0.17,0.067,0.078,2.336,430,1.079,1.5
1997,1.426,0.474,0.142,0.171,0.067,0.079,2.359,432,1.09,1.1
1998,1.464,0.478,0.145,0.172,0.067,0.08,2.406,436,1.111,2.2
1999,1.495,0.481,0.148,0.173,0.066,0.082,2.444,439,1.129,1.8
2000,1.512,0.481,0.151,0.173,0.066,0.083,2.467,441,1.14,1.1
2001,1.535,0.48,0.153,0.174,0.065,0.085,2.492,443,1.151,1.2
2002,1.564,0.481,0.155,0.174,0.065,0.087,2.526,446,1.167,1.5
2003,1.6,0.483,0.157,0.174,0.064,0.088,2.567,449,1.186,1.9
2004,1.627,0.483,0.159,0.174,0.063,0.09,2.596,452,1.199,1.4
2005,1.655,0.481,0.162,0.173,0.063,0.092,2.627,454,1.213,1.4
2006,1.685,0.482,0.165,0.173,0.062,0.095,2.662,457,1.229,1.6
2007,1.709,0.484,0.167,0.172,0.062,0.097,2.692,460,1.243,1.4
2008,1.739,0.486,0.17,0.171,0.061,0.1,2.728,463,1.26,1.7
2009,1.76,0.489,0.172,0.171,0.061,0.103,2.755,465,1.273,1.2
2010,1.791,0.491,0.175,0.17,0.06,0.106,2.793,469,1.29,1.7
2011,1.817,0.492,0.178,0.169,0.06,0.109,2.825,471,1.305,1.5
2012,1.845,0.494,0.181,0.168,0.059,0.111,2.858,474,1.32,1.5
2013,1.882,0.496,0.184,0.167,0.059,0.114,2.901,478,1.34,2
2014,1.908,0.499,0.187,0.166,0.058,0.116,2.935,481,1.356,1.6
2015,1.939,0.504,0.19,0.165,0.058,0.118,2.974,485,1.374,1.8
* annual change (in %) is calculated relative to 1990,,,,,,,,,,
