dt,landaveragetemperature,landaveragetemperatureuncertainty,landmaxtemperature,landmaxtemperatureuncertainty,landmintemperature,landmintemperatureuncertainty,landandoceanaveragetemperature,landandoceanaveragetemperatureuncertainty
1979-01-01,2.6790000000000003,0.083,8.071,0.125,-2.625,0.1,13.63,0.048
1979-02-01,2.841,0.08900000000000001,8.525,0.076,-2.7590000000000003,0.147,13.767999999999999,0.047
1979-03-01,5.474,0.102,11.331,0.187,-0.129,0.272,14.565,0.051
1979-04-01,8.455,0.078,14.273,0.258,2.623,0.303,15.390999999999998,0.046
1979-05-01,11.199000000000002,0.149,17.139000000000006,0.198,5.7120000000000015,0.212,16.076,0.058
1979-06-01,13.487,0.067,19.366,0.213,7.818,0.215,16.772000000000002,0.043
1979-07-01,14.114,0.054000000000000006,19.945,0.109,8.491,0.117,16.992,0.042
1979-08-01,13.833,0.087,19.623,0.16,8.266,0.181,16.977999999999998,0.046
1979-09-01,12.247,0.091,18.059,0.18,6.7139999999999995,0.24,16.45,0.048
1979-10-01,9.586,0.09,15.354000000000001,0.116,4.053999999999999,0.125,15.557,0.049
1979-11-01,6.2860000000000005,0.079,11.807,0.13,0.905,0.051,14.609000000000002,0.047
1979-12-01,4.6,0.068,10.0,0.115,-0.6690000000000002,0.051,14.182,0.045
1980-01-01,2.9560000000000004,0.087,8.468,0.08,-2.4570000000000003,0.124,13.812000000000001,0.049
1980-02-01,3.6519999999999997,0.099,9.26,0.129,-1.864,0.115,14.112,0.05
1980-03-01,5.367000000000001,0.103,11.239999999999998,0.16,-0.379,0.126,14.646,0.052000000000000005
1980-04-01,8.934999999999997,0.106,14.821,0.129,3.109,0.175,15.578,0.052000000000000005
1980-05-01,11.77,0.08900000000000001,17.713,0.234,6.131,0.172,16.314,0.05
1980-06-01,13.582,0.134,19.375,0.185,7.901000000000002,0.299,16.805999999999997,0.058
1980-07-01,14.742,0.14400000000000002,20.465999999999998,0.179,9.102,0.214,17.171,0.06
1980-08-01,14.189,0.221,19.814,0.117,8.562999999999999,0.08900000000000001,17.049,0.077
1980-09-01,12.321,0.08,18.121,0.152,6.642,0.146,16.427,0.051
1980-10-01,9.55,0.064,15.17,0.118,4.051,0.112,15.45,0.048
1980-11-01,6.684,0.094,12.196,0.183,1.334,0.14300000000000002,14.645,0.051
1980-12-01,4.016,0.059,9.431000000000001,0.165,-1.277,0.086,13.892000000000001,0.046
1981-01-01,3.785,0.121,9.267000000000001,0.193,-1.2980000000000005,0.153,13.963,0.055
1981-02-01,4.021,0.139,9.689,0.133,-1.41,0.119,14.073,0.059
1981-03-01,6.239,0.035,12.05,0.063,0.5539999999999999,0.161,14.769,0.045
1981-04-01,8.953,0.08,14.817,0.206,3.1310000000000002,0.25,15.432,0.05
1981-05-01,11.565,0.084,17.471,0.33,5.901000000000002,0.345,16.198,0.049
1981-06-01,13.765,0.122,19.611,0.126,8.065,0.14800000000000002,16.932000000000002,0.058
1981-07-01,14.738,0.08199999999999999,20.398,0.122,9.208,0.132,17.217,0.054000000000000006
1981-08-01,14.502,0.099,20.293,0.092,8.976999999999997,0.081,17.123,0.055
1981-09-01,12.236,0.118,17.950000000000006,0.098,6.646,0.139,16.465999999999998,0.058
1981-10-01,9.394,0.059,14.979000000000001,0.096,3.765,0.066,15.453,0.05
1981-11-01,6.273,0.058,11.669,0.114,0.97,0.099,14.47,0.047
1981-12-01,4.519,0.05,10.068,0.094,-0.878,0.076,14.097999999999999,0.048
1982-01-01,2.5580000000000003,0.08,8.09,0.13,-2.7769999999999997,0.097,13.587,0.053
1982-02-01,3.281,0.077,8.843,0.076,-2.075,0.07,13.852,0.053
1982-03-01,4.873,0.087,10.667,0.139,-0.722,0.13699999999999998,14.337,0.054000000000000006
1982-04-01,8.465,0.093,14.388,0.223,2.89,0.433,15.33,0.054000000000000006
1982-05-01,11.348,0.09,17.149,0.305,5.727,0.28300000000000003,16.144000000000002,0.054000000000000006
1982-06-01,13.245,0.071,19.083,0.234,7.556,0.251,16.625,0.053
1982-07-01,14.545,0.073,20.311,0.301,9.019,0.397,17.0,0.058
1982-08-01,13.796,0.067,19.534000000000002,0.166,8.465,0.217,16.867,0.054000000000000006
1982-09-01,12.039000000000001,0.067,17.75,0.155,6.675,0.213,16.354,0.055
1982-10-01,9.232000000000001,0.066,14.845,0.129,3.917,0.139,15.493,0.054000000000000006
1982-11-01,5.961,0.111,11.314,0.117,0.909,0.184,14.446,0.057
1982-12-01,4.327,0.11,9.637,0.077,-0.7050000000000001,0.064,14.068,0.058
1983-01-01,3.4450000000000003,0.115,8.747,0.084,-1.65,0.08,13.979000000000001,0.057
1983-02-01,3.8139999999999996,0.173,9.427,0.08800000000000001,-1.5919999999999999,0.085,14.169,0.068
1983-03-01,5.699,0.09,11.503,0.055,0.09699999999999998,0.091,14.683,0.053
1983-04-01,8.693,0.05,14.45,0.092,3.053,0.134,15.468,0.048
1983-05-01,11.729000000000001,0.106,17.477,0.136,6.144,0.187,16.34,0.056
1983-06-01,13.478,0.124,19.217,0.147,7.819,0.17,16.785999999999998,0.061
1983-07-01,14.408,0.07,20.139,0.138,8.829,0.115,17.067999999999998,0.054000000000000006
1983-08-01,14.302,0.061,20.105,0.177,8.729,0.1,17.145,0.052000000000000005
1983-09-01,12.698,0.098,18.412000000000006,0.093,7.08,0.16,16.573,0.059
